Championnat de Serbie. SuperLeague  (9) — 9 match(s)
Angleterre. Coupe de la Ligue  (8) — 8 match(s)
Allemagne. Oberliga Rheinland-Pfalz  (8) — 8 match(s)
Coupe d`Allemagne U19  (8) — 8 match(s)
Championnat d'Espagne. Deuxième division RFEF. Groupe 5  (8) — 8 match(s)
Championnat de Russie. Première Ligue. Femmes  (8) — 8 match(s)
Brazil. Campeonato Brasileiro B  (8) — 8 match(s)
Grèce. Superligue 2  (8) — 8 match(s)
Etats-Unis. USL League One  (8) — 8 match(s)
Suisse. SuperLigue  (8) — 8 match(s)
Suède. U19  (8) — 8 match(s)
Écosse. Championship  (8) — 8 match(s)
Championnat d'Écosse. Highland League  (8) — 8 match(s)
Championnat du Japon. Division 3  (8) — 8 match(s)
Bulgarie. Deuxième Ligue  (8) — 8 match(s)
Bulgarie. Première Ligue  (8) — 8 match(s)
Bulgarie. Troisième Ligue  (8) — 8 match(s)
Championnat d'Ukraine. Premier-Liha  (8) — 8 match(s)
Championnat d'Équateur  (8) — 8 match(s)
Championnat de Chine. Ligue 2  (8) — 8 match(s)
Chine. Ligue des Champions  (8) — 8 match(s)
Championnat de Hongrie. NB II  (8) — 8 match(s)
Championnat de Slovaquie. Fortuna liga  (8) — 8 match(s)
Championnat de Slovénie. 2. SNL  (8) — 8 match(s)
Championnat du Bélarus. Division 1  (8) — 8 match(s)
Championnat du Bélarus. Ligue supérieure  (8) — 8 match(s)
Islande. Urvalsdeild  (8) — 8 match(s)
Allemagne. 2. League. Femmes  (7) — 7 match(s)
Allemagne. Oberliga Baden-Württemberg  (7) — 7 match(s)
Championnat d'Allemagne. Ligue régionale Bayern  (7) — 7 match(s)
Championnat d'Allemagne. Oberliga NOFV Sud  (7) — 7 match(s)
Espagne. Championnat des jeunes  (7) — 7 match(s)
Championnat de Russie. 2e ligue. Division B. Groupe 1  (7) — 7 match(s)
Championnat du Danemark. Division U19  (7) — 7 match(s)
Norvège. Division 2  (7) — 7 match(s)
Championnat de Pologne. League 1  (7) — 7 match(s)
États-Unis. NWSL. Femmes  (7) — 7 match(s)
Championnat de République tchèque U19  (7) — 7 match(s)
Championnat de République tchèque. 5 Liga  (7) — 7 match(s)
Burkina Faso  (7) — 7 match(s)
Championnat d'Irlande du Nord. NIFL Premiership  (7) — 7 match(s)
Championnat de Chypre. Première division  (7) — 7 match(s)
Championnat de Croatie. 2ème ligue  (7) — 7 match(s)
Croatie. 1. HNL U19  (7) — 7 match(s)
Championnat de Hong Kong. Division 1  (7) — 7 match(s)
Championnat de Hongrie. Super Ligue  (7) — 7 match(s)
Championnat de Slovaquie. 2 Liga  (7) — 7 match(s)
Championnat de Thaïlande. Thai Première Ligue  (7) — 7 match(s)
Championnat du Venezuela. Division 1  (7) — 7 match(s)
Championnat du Zimbabwe de football  (7) — 7 match(s)
Indonésie. Super Ligue  (7) — 7 match(s)
Lettonie. SynotTip Virslīga  (7) — 7 match(s)
Angleterre. Femmes's Super League  (6) — 6 match(s)
Angleterre. Première Ligue 2  (6) — 6 match(s)
Championnat d'Allemagne. Oberliga Niederrhein  (6) — 6 match(s)
Championnat d'Espagne. Troisième division RFEF. Groupe 5  (6) — 6 match(s)
Championnat de Russie. 2e ligue. Division B. Groupe 4  (6) — 6 match(s)
Championnat du Portugal U23  (6) — 6 match(s)
Brésil. Championnat Gaúcho. Division 2  (6) — 6 match(s)
Championnat du Danemark. Superliga  (6) — 6 match(s)
Championnat du Danemark U19  (6) — 6 match(s)
Norvège. Division 3. Groupe 1  (6) — 6 match(s)
Championnat de Pologne. II League  (6) — 6 match(s)
Suède. Allsvenskan. Femmes  (6) — 6 match(s)
Japon. Coupe de la Ligue. Femmes  (6) — 6 match(s)
Algérie. Ligue 2  (6) — 6 match(s)
Asian Games. Femmes  (6) — 6 match(s)
Canada. Première Ligue  (6) — 6 match(s)
Championnat d'Arménie. Deuxième division  (6) — 6 match(s)
Estonie. II Liiga  (6) — 6 match(s)
Championnat d'Irlande. Première division. Femmes  (6) — 6 match(s)
Irlande. National League  (6) — 6 match(s)
Championnat d'Israël U19  (6) — 6 match(s)
Israël. Première Ligue  (6) — 6 match(s)
Championnat de Chine U20  (6) — 6 match(s)
Championnat de Croatie  (6) — 6 match(s)
Championnat de Croatie. 1ère ligue  (6) — 6 match(s)
Championnat de Slovaquie U19  (6) — 6 match(s)
Championnat de Slovénie. 3. SNL  (6) — 6 match(s)
Championnat du Costa Rica. Division 1 (UNAFUT)  (6) — 6 match(s)
Championnat du Ghana. Glo Première Ligue  (6) — 6 match(s)
Championnat du Paraguay. Primera Division  (6) — 6 match(s)
Championnat du Paraguay. Quatrième division  (6) — 6 match(s)
Le Salvador. Primera Division  (6) — 6 match(s)
Coupe COSAFA U20  (5) — 5 match(s)
Angleterre. Northern League Div One  (5) — 5 match(s)
Angleterre. Superligue 2. Femmes  (5) — 5 match(s)
Allemagne. Regionalliga Nord  (5) — 5 match(s)
Championnat d'Espagne. Troisième division RFEF. Groupe 4  (5) — 5 match(s)
Championnat de Russie. 1ère ligue  (5) — 5 match(s)
Championnat de Russie. 2ème Ligue. Division A. Or  (5) — 5 match(s)
Championnat de Russie. 2ème ligue. Division B. Groupe 3  (5) — 5 match(s)
Championnat des Pays-Bas U19  (5) — 5 match(s)
Autriche. WFV. Landesliga  (5) — 5 match(s)
Championnat d'Autriche. Deuxième ligue  (5) — 5 match(s)
Brésil. Campeonato Carioca B  (5) — 5 match(s)
Brésil. Championnat de Rio de Janeiro U20  (5) — 5 match(s)
Championnat du Brésil. Série C  (5) — 5 match(s)
Championnat du Danemark. Division 1  (5) — 5 match(s)
Danemark. 3e Division  (5) — 5 match(s)
Mexique. Liga Premier. Série A  (5) — 5 match(s)
Mexique. Ligue d'Expansion MX  (5) — 5 match(s)
Championnat de Suisse. Promotion League  (5) — 5 match(s)
Suisse. 1. Liga Classic  (5) — 5 match(s)
Suède. Division 2. Norra Svealand  (5) — 5 match(s)
Suède. Division 2. Södra Svealand  (5) — 5 match(s)
Championnat d'Écosse. Scottish Ligue 2  (5) — 5 match(s)
Championnat d'Albanie de football  (5) — 5 match(s)
Arabie saoudite. Division 1  (5) — 5 match(s)
Championnat d'Afrique du Sud. Femmes  (5) — 5 match(s)
Championnat d'Andorre. Primera  (5) — 5 match(s)
Championnat d'Estonie. Meistriliiga  (5) — 5 match(s)
Championnat d'Irlande. Division 1  (5) — 5 match(s)
Championnat d'Uruguay. Primera B  (5) — 5 match(s)
Finlande. Ykkonen. Division 1  (5) — 5 match(s)
Championnat de Sérbie U19  (5) — 5 match(s)
Championnat de Thaïlande. Thai Division 2  (5) — 5 match(s)
Championnat du Cambodge  (5) — 5 match(s)
Costa Rica. Segunda Division  (5) — 5 match(s)
Irak. Stars League  (5) — 5 match(s)
Lettonie. 1. Ligue  (5) — 5 match(s)
Championnat d'Espagne. Femmes  (4) — 4 match(s)
Championnat d'Espagne. Troisième division RFEF. Groupe 12  (4) — 4 match(s)
Championnat de Russie. 2ème ligue. Division B. Groupe 2  (4) — 4 match(s)
France. Ligue 2  (4) — 4 match(s)
France. National 1  (4) — 4 match(s)
Championnat des Pays-Bas. Troisième division  (4) — 4 match(s)
Turquie. Ligue PAF U19  (4) — 4 match(s)
Autriche. Regionalliga Ouest  (4) — 4 match(s)
Autriche. StFV. Landesliga  (4) — 4 match(s)
Championnat d'Argentine. Femmes  (4) — 4 match(s)
Championnat d'Argentine. Torneo Fédéral A  (4) — 4 match(s)
Belgique. Challenger Pro League  (4) — 4 match(s)
Belgique. Super League Femmes  (4) — 4 match(s)
Brésil. Campeonato Paulista. U20  (4) — 4 match(s)
Brésil. Coupe Goiano U20  (4) — 4 match(s)
Championnat du Danemark. A-League. Femmes  (4) — 4 match(s)
Mexico. Liga Premier. Primera  (4) — 4 match(s)
Mexique. Division 4  (4) — 4 match(s)
Norvège. Toppserien. Femmes  (4) — 4 match(s)
Championnat de République tchèque. Druhá Liga  (4) — 4 match(s)
Suède. Elitettan. Femmes  (4) — 4 match(s)
Championnat d'Écosse. Lowland League  (4) — 4 match(s)
Championnat du Japon. J. League  (4) — 4 match(s)
Albanie. Super League  (4) — 4 match(s)
Bosnie-Herzégovine. Première Ligue  (4) — 4 match(s)
Championnat d'Afrique du Sud. Division 1  (4) — 4 match(s)
Championnat d'Afrique du Sud. Ligue 2. Femmes  (4) — 4 match(s)
Championnat d'Angola  (4) — 4 match(s)
Championnat d'Arménie  (4) — 4 match(s)
Irlande du Nord. National Conference League. Premier Division  (4) — 4 match(s)
Championnat d'Ukraine. Druha Liha  (4) — 4 match(s)
Championnat de Chypre. 2ème division  (4) — 4 match(s)
Championnat de Finlande . Kolmonen. Division 3  (4) — 4 match(s)
Finlande. Ligue de Kansallinen. Femmes  (4) — 4 match(s)
Championnat de Hong Kong. Division 2  (4) — 4 match(s)
Hongrie. NB I. Femmes  (4) — 4 match(s)
Lituanie. Première Ligue  (4) — 4 match(s)
République de Macédoine du Nord. Deuxième ligue  (4) — 4 match(s)
Championnat de République dominicaine  (4) — 4 match(s)
Coupe des Émirats arabes unis  (4) — 4 match(s)
Championnat du Kenya. Première Ligue  (4) — 4 match(s)
Championnat du Paraguay. Troisième division  (4) — 4 match(s)
Géorgie. National League 2  (4) — 4 match(s)
Indonésie. Championship  (4) — 4 match(s)
Jeux asiatiques  (4) — 4 match(s)
Malte. Challenge League  (4) — 4 match(s)
Coupe du monde U20. Femmes  (3) — 3 match(s)
Championnat d'Espagne. Troisième division RFEF. Groupe 10  (3) — 3 match(s)
Championnat d'Espagne. Troisième division RFEF. Groupe 15  (3) — 3 match(s)
Championnat d'Espagne. Troisième division RFEF. Groupe 18  (3) — 3 match(s)
Championnat d'Espagne. Troisième division RFEF. Groupe 6  (3) — 3 match(s)
Championnat d'Espagne. Troisième division RFEF. Groupe 7  (3) — 3 match(s)
Espagne. Regional League  (3) — 3 match(s)
Championnat de Russie. 2e ligue. Division A. Ar  (3) — 3 match(s)
France. Division 2. Femmes  (3) — 3 match(s)
Pays-Bas. Eerste Divisie  (3) — 3 match(s)
Championnat du Portugal. Deuxième division. Femmes  (3) — 3 match(s)
Argentine. Primera C Metropolitana  (3) — 3 match(s)
Championnat de Belgique. 1ère Division. Femmes  (3) — 3 match(s)
Grèce. Super Ligue (19)  (3) — 3 match(s)
Championnat du Mexique U21  (3) — 3 match(s)
Norvège. Division 3. Groupe 3  (3) — 3 match(s)
Norvège. Division 3. Groupe 4  (3) — 3 match(s)
Norvège. Division 3. Groupe 6  (3) — 3 match(s)
Championnat de République tchèque. Ligue 2. Femmes  (3) — 3 match(s)
Championnat de Suède. 2ème division. Gotaland du Sud  (3) — 3 match(s)
Suède. Division 2. Götaland Ouest  (3) — 3 match(s)
Tournoi de tout le Japon  (3) — 3 match(s)
Matchs amicaux des clubs  (3) — 3 match(s)
Bahreïn. Deuxième division  (3) — 3 match(s)
Bosnie-Herzégovine. Première Ligue  (3) — 3 match(s)
Bosnie-Herzégovine. Première Ligue de la République serbe  (3) — 3 match(s)
Canada. Superligue du Nord. Femmes  (3) — 3 match(s)
Championnat CECAFA U20  (3) — 3 match(s)
Estonie. Esiliiga  (3) — 3 match(s)
Championnat d'Inde. Calcutta  (3) — 3 match(s)
Israël. Liga Alef. Nord  (3) — 3 match(s)
Championnat d'Ouzbékistan. PFL  (3) — 3 match(s)
Ukraine. Prime league. Femmes  (3) — 3 match(s)
Championnat de Finlande U21  (3) — 3 match(s)
Championnat de Finlande. Veikkausliiga  (3) — 3 match(s)
Finlande. Ykkosliiga  (3) — 3 match(s)
Championnat de Hong Kong. Senior Shield  (3) — 3 match(s)
Championnat de Saint-Marin. Campionato Sammarinese  (3) — 3 match(s)
Serbie. 1ère Ligue  (3) — 3 match(s)
Iles Féroé. Effodeildin  (3) — 3 match(s)
Championnat du Kenya. Femmes  (3) — 3 match(s)
Coupe de Bolivie  (3) — 3 match(s)
Coupe du Viêt Nam  (3) — 3 match(s)
Coupe du pays de Galles  (3) — 3 match(s)
Géorgie. Superligue  (3) — 3 match(s)
Paris spéciaux du jour  (2) — 2 match(s)
Copa Libertadores  (2) — 2 match(s)
Copa Sudamericana  (2) — 2 match(s)
Matchs amicaux de clubs. Top  (2) — 2 match(s)
Angleterre. Ligue de l'Isthmian  (2) — 2 match(s)
Championnat d'Angleterre. Ligue isthmique. 1ère division. Sud-est  (2) — 2 match(s)
Allemagne. Regionalliga Ouest  (2) — 2 match(s)
Championnat d'Espagne. Primera Division RFEF. Femmes  (2) — 2 match(s)
Championnat d'Espagne. Troisième division RFEF. Groupe 11  (2) — 2 match(s)
Championnat d'Espagne. Troisième division RFEF. Groupe 3  (2) — 2 match(s)
France. Division 1. Femmes  (2) — 2 match(s)
Championnat de Turquie. Supe Ligue. Femmes  (2) — 2 match(s)
Turquie. TFF 3. Ligue  (2) — 2 match(s)
Austria. KFV. Landesliga  (2) — 2 match(s)
Autriche. BFV. Landesliga  (2) — 2 match(s)
Autriche. Regionalliga East  (2) — 2 match(s)
Championnat d'Autriche. Femmes  (2) — 2 match(s)
Coupe d`Argentine  (2) — 2 match(s)
Argentine. Tournoi promotionnel amateur  (2) — 2 match(s)
Championnat de Belgique. Ligue amateur. Deuxième division  (2) — 2 match(s)
Brésil. Copa do Brasil  (2) — 2 match(s)
Brazil. Paranaense Cup  (2) — 2 match(s)
Brésil. Campeonato Mineiro U20  (2) — 2 match(s)
Brésil. Campeonato Pernambucano Moins de 20 ans  (2) — 2 match(s)
Brésil. Coupe Paulista  (2) — 2 match(s)
Brésil. Cup Santa-Catarina  (2) — 2 match(s)
Championnat de Brésil. Femmes  (2) — 2 match(s)
Championnat du Brésil. Ligue Alagoano U20  (2) — 2 match(s)
Championnat du Danemark. 1ère Division  (2) — 2 match(s)
Norvège. 1 Division. Femmes  (2) — 2 match(s)
Norvège. Division 3. Groupe 2  (2) — 2 match(s)
Norvège. Division 3. Groupe 5  (2) — 2 match(s)
Championnat de Pologne. Ligue Centrale U19  (2) — 2 match(s)
Championnat de Suisse. Ligue B. Femmes  (2) — 2 match(s)
Suède. Division 2. Norrland  (2) — 2 match(s)
Championnat du Japon. Première division. Femmes  (2) — 2 match(s)
Japon. Ligue régionale  (2) — 2 match(s)
Australie. NPL Northern Territory  (2) — 2 match(s)
Championnat d'Inde. Mizoram Première Ligue  (2) — 2 match(s)
Championnat d'Irlande. Première division  (2) — 2 match(s)
Uruguay. Primera Divisional C  (2) — 2 match(s)
Championnat de Botswana  (2) — 2 match(s)
Championnat de Croatie. 1. HNL. Femmes  (2) — 2 match(s)
Championnat de Finlande. Kakkonen. Femmes  (2) — 2 match(s)
Championnat de Hongrie U19  (2) — 2 match(s)
Championnat de Lituanie. Deuxième ligue  (2) — 2 match(s)
Championnat de Macédoine du Nord U19  (2) — 2 match(s)
Championnat de Moldavie. Superligue  (2) — 2 match(s)
Championnat de Panama. Deuxième ligue  (2) — 2 match(s)
Championnat de Panama. Première division. Femmes  (2) — 2 match(s)
Panama. League Panameña de Fútbol  (2) — 2 match(s)
Championnat de Porto Rico. Ligue nationale  (2) — 2 match(s)
Slovakia. Liga 1. Women  (2) — 2 match(s)
Championnat du Honduras  (2) — 2 match(s)
Championnat du Kosovo. Superliga  (2) — 2 match(s)
Coupe du Liban  (2) — 2 match(s)
Coupe Intercontinentale  (1) — 1 match(s)
Coupe de la confédération CAF  (1) — 1 match(s)
Coupe du Monde U20. 2026. Femmes. Vainqueur  (1) — 1 match(s)
Angleterre. Isthmian League. 1ere Division. North  (1) — 1 match(s)
Angleterre. Isthmian League. 1re division. Centre-Sud  (1) — 1 match(s)
Angleterre. Northern Première Ligue  (1) — 1 match(s)
Allemagne. Regionalliga Sud-Ouest  (1) — 1 match(s)
Allemagne. Regionalliga. Nordost  (1) — 1 match(s)
Espagne. Coupe de Fédération  (1) — 1 match(s)
Coupe d'Italie. Série A. Femmes  (1) — 1 match(s)
Championnat des Pays-Bas U21  (1) — 1 match(s)
Championnat des Pays-Bas. Division 3 U21  (1) — 1 match(s)
Portugal. Primeira Liga. Statistiques du tour  (1) — 1 match(s)
Championnat du Portugal. Femmes  (1) — 1 match(s)
Autriche. Deuxième Ligue. Femmes  (1) — 1 match(s)
Autriche. Regionalliga Sud  (1) — 1 match(s)
Autriche. VFV. Landesliga  (1) — 1 match(s)
Argentine. Supercoupe Internationale  (1) — 1 match(s)
Brazil. Campeonato Cearense. Division 3  (1) — 1 match(s)
Brésil. Championnat Paraense A3  (1) — 1 match(s)
Brésil. Championnat Paulista. Série B U20  (1) — 1 match(s)
Brésil. Championnat du Goiás. Division 2  (1) — 1 match(s)
Brésil. Copa Sul U20  (1) — 1 match(s)
Brésil. Coupe de Rio  (1) — 1 match(s)
Brésil. Coupe de Santa Catarina U20  (1) — 1 match(s)
Championnat du Brésil. Ligue Capixaba. Série B  (1) — 1 match(s)
Championnat du Brésil. Ligue Potiguar U20  (1) — 1 match(s)
Championnat du Brésil. Ligue Sergipano 2 U20  (1) — 1 match(s)
Championnat du Brésil. Ligue Sergipano U20  (1) — 1 match(s)
Championnat du Brésil. Ligue de Piauiense. 2e division  (1) — 1 match(s)
Championnat de Grèce. Super ligue. Statistiques du round  (1) — 1 match(s)
Championnat de Grèce. Femmes  (1) — 1 match(s)
